RSI(14)_value,RSI(14)_status,"STOCH(9,6)_value","STOCH(9,6)_status",STOCHRSI(14)_value,STOCHRSI(14)_status,"MACD(12,26)_value","MACD(12,26)_status",ATR(14)_value,ATR(14)_status,ADX(14)_value,ADX(14)_status,CCI(14)_value,CCI(14)_status,Highs/Lows(14)_value,Highs/Lows(14)_status,UO_value,UO_status,ROC_value,ROC_status,WilliamsR_value,WilliamsR_status,BullBear(13)_value,BullBear(13)_status,Summary_value,Summary_status,Fiyat,Degisim,Hisse,Tarih,MA5_state,MA5_value,MA10_state,MA10_value,MA20_state,MA20_value,MA50_state,MA50_value,MA100_state,MA100_value,MA200_state,MA200_value,Summary_state,Summary_value
46.789,Neutral,15.948,Oversold,11.972,Oversold,-0.040,Sell,0.6171,Less Volatility,28.219,Neutral,-77.5235,Sell,-0.3157,Sell,32.854,Sell,-3.906,Sell,-87.324,Oversold,-0.2800,Sell,Buy (0) ,Strong Sell,1110,0.00,HALKB,2023-03-22,SAT,11.08,SAT,11.35,SAT,11.51,SAT,11.15,AL,11.02,AL,8.94,SAT,Buy (4)
43.419,Sell,30.229,Sell,17.645,Oversold,-0.086,Sell,0.2279,High Volatility,29.112,Sell,-129.0598,Sell,-0.1650,Sell,35.824,Sell,-6.533,Sell,-79.121,Sell,-0.3020,Sell,Buy (0) ,Strong Sell,3720,+1.64,AKFGY,2023-03-22,SAT,3.812,SAT,3.904,SAT,3.966,SAT,4.064,SAT,4.519,AL,3.717,SAT,Buy (1)
40.986,Sell,29.168,Sell,0.000,Oversold,-0.132,Sell,1.0407,Less Volatility,45.662,Sell,-200.1845,Oversold,-1.3879,Sell,32.374,Sell,-14.865,Sell,-95.616,Oversold,-2.9840,Sell,Buy (0) ,Strong Sell,18340,0.00,KRDMD,2023-03-22,SAT,19.006,SAT,19.704,SAT,20.616,SAT,19.313,AL,17.342,AL,14.540,SAT,Buy (4)
36.590,Sell,23.463,Sell,14.317,Oversold,-0.534,Sell,0.6021,Less Volatility,42.607,Sell,-149.3496,Sell,-0.9164,Sell,29.731,Oversold,-11.118,Sell,-88.652,Oversold,-1.9460,Sell,Buy (0) ,Strong Sell,14440,+1.12,PETKM,2023-03-22,SAT,14.720,SAT,15.397,SAT,15.927,SAT,16.464,SAT,16.769,AL,14.061,SAT,Buy (2)
48.659,Neutral,32.738,Sell,4.512,Oversold,0.018,Buy,0.0693,High Volatility,32.881,Sell,-66.0984,Sell,-0.0257,Sell,42.728,Sell,3.226,Buy,-78.571,Sell,-0.0380,Sell,Buy (2) ,Strong Sell,0940,-5.05,IHYAY,2023-03-22,SAT,0.986,SAT,1.035,SAT,0.981,AL,0.936,SAT,1.003,AL,0.837,SAT,Buy (4)
45.074,Neutral,22.264,Sell,18.887,Oversold,-0.096,Sell,0.5364,Less Volatility,30.732,Sell,-117.4323,Sell,-0.5057,Sell,30.751,Sell,-10.553,Sell,-85.377,Oversold,-0.8340,Sell,Buy (0) ,Strong Sell,8910,+3.36,DOHOL,2023-03-22,SAT,9.000,SAT,9.445,SAT,9.495,SAT,9.264,AL,8.719,AL,6.649,SAT,Buy (4)
46.401,Neutral,29.487,Sell,0.000,Oversold,-0.002,Sell,0.0471,Less Volatility,27.962,Sell,-137.6069,Sell,-0.0179,Sell,31.412,Sell,-3.448,Sell,-84.615,Oversold,-0.0220,Sell,Buy (0) ,Strong Sell,0850,+1.19,IHLAS,2023-03-22,SAT,0.860,SAT,0.872,SAT,0.855,SAT,0.867,SAT,0.937,AL,0.758,SAT,Buy (2)
44.661,Sell,38.375,Sell,13.650,Oversold,-0.560,Sell,2.1500,Less Volatility,27.273,Sell,-169.2029,Sell,-1.2607,Sell,37.762,Sell,-2.620,Sell,-80.000,Sell,-3.9500,Sell,Buy (0) ,Strong Sell,5395,+1.22,ASELS,2023-03-22,SAT,55.24,SAT,56.12,SAT,55.68,SAT,56.88,AL,52.87,AL,39.66,SAT,Buy (4)
53.136,Neutral,39.222,Sell,35.490,Sell,0.051,Buy,0.1679,High Volatility,26.744,Buy,37.7373,Neutral,0.0000,Neutral,48.618,Sell,4.727,Buy,-59.375,Sell,0.1520,Buy,Buy (4) ,Neutral,2900,-0.34,AVOD,2023-03-22,SAT,2.926,AL,2.863,AL,2.785,AL,2.739,SAT,3.099,AL,2.736,AL,Buy (9)
54.726,Neutral,33.796,Sell,28.607,Sell,0.079,Buy,0.2529,High Volatility,22.342,Sell,-8.5173,Neutral,0.0000,Neutral,53.102,Buy,10.448,Buy,-48.673,Neutral,-0.0080,Sell,Buy (3) ,Sell,4430,+2.31,TSKB,2023-03-22,AL,4.424,SAT,4.461,AL,4.292,AL,4.172,AL,4.034,AL,3.629,AL,Buy (11)
51.066,Neutral,25.245,Sell,11.449,Oversold,0.360,Buy,1.4114,High Volatility,25.563,Sell,-58.7403,Sell,-0.1700,Sell,36.735,Sell,7.498,Buy,-63.455,Sell,-0.7560,Sell,Buy (2) ,Strong Sell,2556,+1.91,GARAN,2023-03-22,SAT,25.75,SAT,26.49,AL,25.37,AL,24.66,SAT,25.78,AL,22.41,AL,Buy (7)
